"tipo","url","descripcion","tema","prioridad","observaciones"
"capa_geojson","https://cdn.sassoapps.com/dgmesnie/geojson/dgmesnie_gerencias.json","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 3 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/dgmesnie/geojson/dgmesnie_lt.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 3 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/dgmesnie/geojson/dgmesnie_subestaciones2.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Gabvy/anp_estatal.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Gabvy/atlaspueblosindigenas.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Gabvy/lenguasindigenas_corregido.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Gabvy/loc_indigenas_datos.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 3 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Gabvy/localidades_indigenas.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Gabvy/ramsar.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 6 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Gabvy/RAN_4326.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Gabvy/regionesindigenas.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Gabvy/rutaWixarika.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Gabvy/sitio_arqueologico.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Gabvy/z_historicos.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Gabvy/ZA_publico_a.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Gabvy/ZA_publico.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/geojson/Centrales_El%C3%A9ctricas_privadas_y_de_CFE.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 7 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/geojson/comunidades_indigenas.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/geojson/L%C3%ADneas_de_Transmisi%C3%B3n.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 5 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/geojson/Lineas_de_Transmision.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/geojson/Subestaciones_El%C3%A9ctricas.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 5 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/geojson/Subestaciones_Electricas.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/ANP2025.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 4 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/areas_destinadas_voluntariamentea_la_conservaci%C3%B3n.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 4 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/comunidades_indigenas.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/Ductos%20de%20Importacion.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 1 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/Ductos%20integrados%20a%20SISTRANGAS.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 1 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/Ductos%20no%20integrados%20a%20SISTRANGAS.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 1 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/estados.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 10 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/gcr.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 1 archivo(s)."
